,index,Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length
182,26,171162119680585_899793456817444,https://www.facebook.com/TarletonCOGS/posts/899793456817444,Have you seen our list of grad student scholarships?  Apply through the General Scholarship application today!,Link,,,11/30/16 6:24 AM, ,464,181,0,744,293,0,27,23,24,0,0,341,195,0,0,16,0,0,0,0,0,0,0,0,0,0
183,27,171162119680585_899881916808598,https://www.facebook.com/TarletonCOGS/posts/899881916808598,Questions regarding Texas residency?  Check out this FAQ list!,Link,,,11/29/16 3:29 PM, ,74,71,0,115,110,0,2,1,1,0,0,110,71,0,0,2,0,0,0,0,0,0,0,0,0,0
184,28,171162119680585_899782303485226,https://www.facebook.com/TarletonCOGS/posts/899782303485226,Check out the latest issue of our weekly newsletter!,Link,,,11/29/16 6:08 AM, ,73,73,0,123,123,0,4,4,5,0,0,123,73,0,0,4,0,0,0,0,0,0,0,0,0,0
185,29,171162119680585_899869050143218,https://www.facebook.com/TarletonCOGS/posts/899869050143218,"Interested in carrying a flag at the upcoming graduation ceremony? Sign up here! (No December graduates, please.)",Link,,,11/28/16 4:03 PM, ,166,76,0,252,105,0,5,2,2,0,0,111,78,0,0,4,0,0,0,0,0,0,0,0,0,0
186,30,171162119680585_899781453485311,https://www.facebook.com/TarletonCOGS/posts/899781453485311,Graduation tickets are here!  Stop by the COGS office or request that they be mailed by completing this form: https://goo.gl/forms/Spvf6E6VTQcCcBpU2,Link,,,11/28/16 7:55 AM, ,147,100,0,239,148,0,9,8,10,0,0,164,107,0,0,7,0,0,0,0,0,0,0,0,0,0
187,31,171162119680585_895227433940713,https://www.facebook.com/TarletonCOGS/posts/895227433940713:0,Save the Date!  The next open house for Tarleton's College of Graduate Studies is February 4th in Waco.,Photo,,,11/25/16 4:17 PM, ,1059,942,0,1789,1562,0,19,13,20,0,0,1003,521,0,0,14,0,0,0,0,0,0,0,0,0,0
188,32,171162119680585_895219267274863,https://www.facebook.com/TarletonCOGS/posts/895219267274863:0,"Graduation tickets become available this Monday, November 28th.  If you need your graduation tickets mailed, please email edunn@tarleton.edu.  (COGS ceremony only.)",Photo,,,11/25/16 8:54 AM, ,795,779,0,1270,1234,0,16,11,17,0,0,781,439,0,0,11,0,0,0,0,0,0,0,0,0,0
189,33,171162119680585_895224140607709,https://www.facebook.com/TarletonCOGS/posts/895224140607709:0,Timeline Photos,Photo,,,11/24/16 10:10 AM, ,205,205,0,325,325,0,1,1,1,0,0,272,166,0,0,1,0,0,0,0,0,0,0,0,0,0
190,34,171162119680585_895207957275994,https://www.facebook.com/TarletonCOGS/posts/895207957275994,"**The University will close today at noon for the Thanksgiving holiday.  Normal operations resume Monday, November 28th.**",Status,,,11/23/16 6:26 AM, ,43,39,0,96,92,0,1,0,0,0,0,92,39,0,0,1,0,0,0,0,0,0,0,0,0,0
191,35,171162119680585_895226707274119,https://www.facebook.com/TarletonCOGS/posts/895226707274119,"Check out the latest issue of our weekly newsletter, The COGS Connection, on our blog!",Link,,,11/22/16 3:14 PM, ,63,62,0,112,111,0,1,0,0,0,0,111,62,0,0,1,0,0,0,0,0,0,0,0,0,0
192,36,171162119680585_895213560608767,https://www.facebook.com/TarletonCOGS/posts/895213560608767:0,Tarleton faculty:  Don't forget!  Results of Comprehensive Exams are due in the COGS office by 5 p.m. today.,Photo,,,11/22/16 6:41 AM, ,360,347,0,674,660,0,7,4,5,0,0,558,273,0,0,7,0,0,0,0,0,0,0,0,0,0
193,37,171162119680585_895205320609591,https://www.facebook.com/TarletonCOGS/posts/895205320609591:0,Interested in participating in a research study on pain (with no pain involved)?  Contact Dr. Amber Harris-Bozer at alharris@tarleton.edu for more information.,Photo,,,11/21/16 3:21 PM, ,356,353,0,702,698,0,7,5,8,0,0,597,281,0,0,7,0,0,0,0,0,0,0,0,0,0
194,38,171162119680585_895202037276586,https://www.facebook.com/TarletonCOGS/posts/895202037276586,"Looking for a graduate assistantship? The Center for Instructional Innovation (CII) is looking for someone to assist with Portfolium, tech and distance learning initiatives, events, etc.  Check out Hire A Texan by clicking below for more details.",Link,,,11/21/16 11:00 AM, ,81,78,0,150,148,0,4,3,3,0,0,148,78,0,0,4,0,0,0,0,0,0,0,0,0,0
195,39,171162119680585_890849797711810,https://www.facebook.com/TarletonCOGS/posts/890849797711810,Check out these tips for financial success in paying for grad school.,Link,,,11/18/16 6:10 AM, ,59,59,0,103,103,0,2,2,3,0,0,103,59,0,0,2,0,0,0,0,0,0,0,0,0,0
196,40,171162119680585_890872084376248,https://www.facebook.com/TarletonCOGS/posts/890872084376248,Balancing Work and Grad School? Your 4-Step Survival Guide.,Link,,,11/17/16 6:49 AM, ,82,82,0,158,158,0,4,4,4,0,0,158,82,0,0,4,0,0,0,0,0,0,0,0,0,0
197,41,171162119680585_891548540975269,https://www.facebook.com/TarletonCOGS/posts/891548540975269:0,"It's not too late to sign up for Study Abroad for next summer!  Travel to Poland, Germany, Slovakia, or the Czech Republic.  Contact Dean Barry Lambert at blambert@tarleton.edu to discuss. #TSUInternational Week",Photo,,,11/16/16 2:18 PM, ,550,550,0,1434,1434,0,2,2,4,0,0,1243,446,0,0,2,0,0,0,0,0,0,0,0,0,0
198,42,171162119680585_890845954378861,https://www.facebook.com/TarletonCOGS/posts/890845954378861,Graduating soon?  Take into consideration these nine things every graduate should know.,Link,,,11/16/16 6:03 AM, ,125,105,0,203,162,0,10,9,10,1,1,171,110,0,0,10,0,0,0,0,0,0,0,0,0,0
199,43,171162119680585_890839897712800,https://www.facebook.com/TarletonCOGS/posts/890839897712800,"Stay up to date with the news for Tarleton's graduate students!  Check out the latest issue of our weekly newsletter, The COGS Connection!",Link,,,11/15/16 4:54 PM, ,64,64,0,114,114,0,1,1,2,0,0,114,64,0,0,1,0,0,0,0,0,0,0,0,0,0
200,44,171162119680585_890832387713551,https://www.facebook.com/TarletonCOGS/posts/890832387713551,Time management tips:  Set five minute timers to increase your productivity.,Link,,,11/15/16 6:47 AM, ,61,61,0,112,112,0,0,0,0,0,0,110,60,0,0,0,0,0,0,0,0,0,0,0,0,0
201,45,171162119680585_890856207711169,https://www.facebook.com/TarletonCOGS/posts/890856207711169,Learn more about the TMATE program at tonight's information session.,Link,,,11/14/16 1:19 PM, ,29,29,0,58,58,0,0,0,0,0,0,58,29,0,0,0,0,0,0,0,0,0,0,0,0,0
202,46,171162119680585_890826091047514,https://www.facebook.com/TarletonCOGS/posts/890826091047514,It's #TSUInternational Week!  Follow the week's activities and learn more about international cultures! TSUInternational,Link,,,11/14/16 8:23 AM, ,48,48,0,82,82,0,0,0,0,0,0,82,48,0,0,0,0,0,0,0,0,0,0,0,0,0
203,47,171162119680585_887188404744616,https://www.facebook.com/TarletonCOGS/posts/887188404744616:0,"?Tarleton means a lot to me. This is the place where my American dreams started.?  Meet alumna, Rachel Li, in our latest spotlight. http://buff.ly/2eJLhI6",Photo,,,11/11/16 11:44 AM, ,724,724,0,2106,2103,0,9,7,19,0,0,1586,493,0,0,8,0,0,0,0,0,0,0,0,0,0
204,48,171162119680585_888971087899681,https://www.facebook.com/TarletonCOGS/posts/888971087899681,"Thank you, veterans, for your service!  Learn more about the history of Veterans Day.",Link,,,11/11/16 6:24 AM, ,65,63,0,114,112,0,1,0,0,0,0,111,62,0,0,1,0,0,0,0,0,0,0,0,0,0
205,49,171162119680585_887187164744740,https://www.facebook.com/TarletonCOGS/posts/887187164744740,Everything you need to know about managing your student email account. http://www.tarleton.edu/technology/studentemail/,Link,,,11/10/16 4:39 PM, ,80,80,0,129,129,0,2,2,3,0,0,128,78,0,0,2,0,0,0,0,0,0,0,0,0,0
206,50,171162119680585_887185888078201,https://www.facebook.com/TarletonCOGS/posts/887185888078201,Looking forward to graduating in May 2017?  You may submit your graduation application now!  Follow the link for more info.,Link,,,11/10/16 6:35 AM, ,44,44,0,72,72,0,2,2,3,0,0,71,43,0,0,2,0,0,0,0,0,0,0,0,0,0
207,51,171162119680585_887179218078868,https://www.facebook.com/TarletonCOGS/posts/887179218078868,Interested in learning more about the TMATE program?  Consider attending this upcoming info session.  TMATE Tarleton Model for Accelerated Teacher Education,Link,,,11/9/16 4:15 PM, ,75,72,0,121,114,0,2,1,1,0,0,113,71,0,0,2,0,0,0,0,0,0,0,0,0,0
208,52,171162119680585_887176891412434,https://www.facebook.com/TarletonCOGS/posts/887176891412434,Tips for navigating conferences.,Link,,,11/9/16 6:08 AM, ,81,78,0,128,126,0,1,0,0,0,0,125,77,0,0,1,0,0,0,0,0,0,0,0,0,0
209,53,171162119680585_887175601412563,https://www.facebook.com/TarletonCOGS/posts/887175601412563:0,Graduating with your master's or doctorate this semester?  Check your Tarleton email for important information sent today. #TarletonGradStudies,Photo,,,11/8/16 4:04 PM, ,928,861,0,2884,2778,0,12,6,7,0,0,1965,531,0,0,11,0,0,0,0,0,0,0,0,0,0
210,54,171162119680585_887173451412778,https://www.facebook.com/TarletonCOGS/posts/887173451412778:0,Today's the deadline for submission of defended theses/dissertations! #tarletongradstudies,Photo,,,11/8/16 10:49 AM, ,861,849,0,2698,2684,0,7,5,8,0,0,1863,520,0,0,6,0,0,0,0,0,0,0,0,0,0
211,55,171162119680585_886497394813717,https://www.facebook.com/TarletonCOGS/posts/886497394813717,The #TAMUSPathways Student Research Symposium has concluded for another year.  Congratulations to all of our student researchers! Thanks also to our Tarleton faculty and staff for your support!,Photo,,,11/7/16 8:54 AM, ,92,89,0,157,152,0,17,15,35,0,0,151,88,0,0,17,0,0,0,0,0,0,0,0,0,0
212,56,171162119680585_884479055015551,https://www.facebook.com/TarletonCOGS/posts/884479055015551:0,#TAMUSPathways is under way!,Photo,,,11/4/16 8:04 AM, ,389,316,0,846,737,0,18,9,18,0,0,620,248,0,0,11,0,0,0,0,0,0,0,0,0,0
213,57,171162119680585_881795825283874,https://www.facebook.com/TarletonCOGS/posts/881795825283874:0,Good luck to all of our student researchers at the #tamuspathways Student Research Symposium at PVAMU today! #TarletonRSAW,Photo,,,11/4/16 6:22 AM, ,246,246,0,576,576,0,6,5,5,0,0,490,198,0,0,4,0,0,0,0,0,0,0,0,0,0
214,58,171162119680585_881793125284144,https://www.facebook.com/TarletonCOGS/posts/881793125284144:0,A record number of Tarleton students and faculty head out today for the #tamuspathways Student Research Symposium at Prairie View!  Good luck to our #Tarleton student researchers! #TarletonRSAW,Photo,,,11/3/16 11:16 AM, ,247,243,0,558,550,0,8,5,5,0,0,469,191,0,0,5,0,0,0,0,0,0,0,0,0,0
215,59,171162119680585_881791421950981,https://www.facebook.com/TarletonCOGS/posts/881791421950981,Preparing for your first academic conference. #TarletonRSAW,Link,,,11/3/16 6:11 AM, ,44,44,0,72,72,0,0,0,0,0,0,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0
216,60,171162119680585_881789601951163,https://www.facebook.com/TarletonCOGS/posts/881789601951163,Have you heard about the new Ag Innovation Grant? #TarletonRSAW https://www.youtube.com/watch?v=5MRGKP943vM,Link,,,11/2/16 2:04 PM, ,171,76,0,304,155,0,12,7,11,0,0,187,95,0,0,7,0,0,0,0,0,0,0,0,0,0
217,61,171162119680585_881788118617978,https://www.facebook.com/TarletonCOGS/posts/881788118617978,"***** #TarletonRSAW Faculty Forums continue today!  3 PM COE in Math 125, & also at 3 PM COST in SCI 109!  *****",Status,,,11/2/16 8:59 AM, ,35,35,0,66,66,0,0,0,0,0,0,66,35,0,0,0,0,0,0,0,0,0,0,0,0,0
218,62,171162119680585_881778021952321,https://www.facebook.com/TarletonCOGS/posts/881778021952321,#TarletonRSAW continues today!  Faculty Forums are on the schedule.  See the complete schedule by visiting our event page.,Link,,,11/1/16 9:48 AM, ,24,24,0,37,37,0,1,1,1,0,0,37,24,0,0,1,0,0,0,0,0,0,0,0,0,0
219,63,171162119680585_881776785285778,https://www.facebook.com/TarletonCOGS/posts/881776785285778,"What are you doing next summer? Consider traveling to Poland for Study Abroad!  Find out more tonight from 6:00-7:30 PM at the Autry Agriculture Building, Room 209. Register for the meeting here: https://goo.gl/forms/lXDap5V8nNUPnHfS2",Link,,,11/1/16 6:44 AM, ,97,83,0,156,140,0,6,3,4,0,0,140,83,0,0,5,0,0,0,0,0,0,0,0,0,0
220,64,171162119680585_881765948620195,https://www.facebook.com/TarletonCOGS/posts/881765948620195:0,Have a safe Halloween!,Photo,,,10/31/16 2:21 PM, ,329,327,0,904,899,0,10,5,8,0,0,765,258,0,0,7,0,0,0,0,0,0,0,0,0,0
221,65,171162119680585_881751561954967,https://www.facebook.com/TarletonCOGS/posts/881751561954967,Tarleton's Research & Scholarship Appreciation Week continues!  Check out highlights of the week by following the event! #TarletonRSAW,Link,,,10/31/16 7:26 AM, ,39,39,0,57,57,0,0,0,0,0,0,57,39,0,0,0,0,0,0,0,0,0,0,0,0,0
222,66,171162119680585_878828788913911,https://www.facebook.com/TarletonCOGS/posts/878828788913911,"Graduate student researcher, Sarah Shawver, talks about her research on soil microbial genomics.  Listen to Sarah discuss her research and opportunities in this featured #TarletonRSAW video.  https://youtu.be/qAKfuTDBGg0",Link,,,10/27/16 8:30 AM, ,78,66,0,136,122,0,4,2,3,0,0,122,66,0,0,3,0,0,0,0,0,0,0,0,0,0
223,67,171162119680585_876712242458899,https://www.facebook.com/TarletonCOGS/posts/876712242458899,It's Research & Scholarship Appreciation Week!  Check out updates and activities throughout the week! #tarletonrsaw,Link,,,10/27/16 6:18 AM, ,21,21,0,34,34,0,1,1,1,0,0,34,21,0,0,1,0,0,0,0,0,0,0,0,0,0
224,68,171162119680585_878280998968690,https://www.facebook.com/TarletonCOGS/videos/878280998968690/,Applying to Grad School #BeyondaBachelors,Video,,,10/26/16 1:01 PM, ,615,609,0,1639,1632,0,9,6,9,0,0,1162,406,0,0,8,0,0,0,0,57,61,1,1,35494,2418283
225,69,171162119680585_878230218973768,https://www.facebook.com/TarletonCOGS/videos/878230218973768/,Time Management #BeyondaBachelors,Video,,,10/26/16 11:05 AM, ,700,620,0,1740,1619,0,12,10,17,0,0,1155,412,0,0,8,0,0,0,0,61,71,1,1,11303,2399725
226,70,171162119680585_878203508976439,https://www.facebook.com/TarletonCOGS/videos/878203508976439/,Financial Aid & Scholarships #BeyondaBachelors,Video,,,10/26/16 10:02 AM, ,568,568,0,1556,1556,0,5,5,7,0,0,1097,368,0,0,5,0,0,0,0,37,40,0,0,43203,2949647
227,71,171162119680585_878150642315059,https://www.facebook.com/TarletonCOGS/videos/878150642315059/,Applying to Grad School #BeyondaBachelors,Video,,,10/26/16 8:05 AM, ,600,579,0,1607,1577,0,9,7,11,0,0,1111,381,0,0,7,0,0,0,0,36,44,1,1,11451,1828279
228,72,171162119680585_876708999125890,https://www.facebook.com/TarletonCOGS/posts/876708999125890,Today is the Beyond a Bachelor's Open House!  See the schedule of events here!,Link,,,10/26/16 6:03 AM, ,25,25,0,43,43,0,0,0,0,0,0,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0
229,73,171162119680585_877561149040675,https://www.facebook.com/TarletonCOGS/posts/877561149040675,Zoom links for tomorrow's open house sessions have been posted on the event page!  #beyondabachelors,Link,,,10/25/16 1:12 PM, ,24,24,0,44,44,0,0,0,0,0,0,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0
230,74,171162119680585_876709905792466,https://www.facebook.com/TarletonCOGS/posts/876709905792466,"Tomorrow's #BeyondaBachelors Open House will feature a session on Time Management by current grad student, Shelby Gilson.  Learn more about Shelby in our recent Student Spotlight.",Link,,,10/25/16 6:06 AM, ,129,87,0,230,147,0,9,6,6,0,0,150,87,0,0,5,0,0,0,0,0,0,0,0,0,0
231,75,171162119680585_876711452458978,https://www.facebook.com/TarletonCOGS/posts/876711452458978,Check out this week's issue of #TheCOGSConnection on our blog.,Link,,,10/24/16 4:10 PM, ,59,59,0,102,102,0,1,1,2,0,0,100,57,0,0,1,0,0,0,0,0,0,0,0,0,0
232,76,171162119680585_876689082461215,https://www.facebook.com/TarletonCOGS/posts/876689082461215,Don't forget!  Our Stephenville open house is this Wednesday!,Link,,,10/24/16 8:42 AM, ,67,65,0,120,117,0,1,0,0,0,0,115,63,0,0,1,0,0,0,0,0,0,0,0,0,0
233,77,171162119680585_871739256289531,https://www.facebook.com/TarletonCOGS/posts/871739256289531,Have you met Lego Grad Student?,Link,,,10/21/16 5:09 PM, ,134,110,0,234,197,0,10,7,7,1,1,196,109,0,0,9,0,0,0,0,0,0,0,0,0,0
234,78,171162119680585_113568242449186,https://www.facebook.com/events/113568242449186/,"Join us for a week long celebration of research, scholarship, and creative activities.",Status,,,10/21/16 12:22 PM, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235,79,171162119680585_871681862961937,https://www.facebook.com/TarletonCOGS/posts/871681862961937,"Looking for a unique promotions and event experience geared toward money management? Consider applying for Tarleton?s SALT Ambassador Program!  Contact Ms. Crystal Martinez-Smith at cmsmith@tarleton.edu for more information, or to apply. #SALTmoney",Status,,,10/21/16 6:30 AM, ,49,49,0,76,76,0,0,0,0,0,0,75,48,0,0,0,0,0,0,0,0,0,0,0,0,0
236,80,171162119680585_871710989625691,https://www.facebook.com/TarletonCOGS/posts/871710989625691,Want more information on applying to graduate school at Tarleton?  Attend our upcoming open house!  See our event page to RSVP and for more info!,Link,,,10/20/16 6:26 PM, ,57,57,0,78,78,0,0,0,0,0,0,77,56,0,0,0,0,0,0,0,0,0,0,0,0,0
237,81,171162119680585_873792632750860,https://www.facebook.com/TarletonCOGS/posts/873792632750860,"Congratulations, Dr. Beach! Tarleton State University - Educational Leadership & Policy Studies",Link,,,10/20/16 10:08 AM, ,207,136,0,364,247,0,15,5,7,0,0,294,161,0,0,15,0,0,0,0,0,0,0,0,0,0
238,82,171162119680585_871707879626002,https://www.facebook.com/TarletonCOGS/posts/871707879626002,Check out this great guidebook on Tarleton traditions! #TarletonHomecoming #TBT Tarleton State University Alumni Association,Link,,,10/20/16 6:21 AM, ,67,57,0,127,102,0,3,0,0,0,0,101,56,0,0,1,0,0,0,0,0,0,0,0,0,0
239,83,171162119680585_871729729623817,https://www.facebook.com/TarletonCOGS/posts/871729729623817:0,"Faculty Unscripted: Learn more about grad faculty member, Dr. Moumin Quazi, from Tarleton's English & Languages program. http://buff.ly/2em3l7Z",Photo,,,10/19/16 5:55 PM, ,375,310,0,855,762,0,19,15,23,0,0,659,260,0,0,12,0,0,0,0,0,0,0,0,0,0
240,84,171162119680585_871700066293450,https://www.facebook.com/TarletonCOGS/posts/871700066293450,"The Journal of Multidisciplinary Graduate Research is searching for outstanding papers from graduate students and professors for this year?s volume. The JMGR is a nationally peer reviewed journal looking for high-quality, original submissions written by graduate students and their professor mentors on multidisciplinary topics. Learn more!",Link,,,10/19/16 6:02 AM, ,72,67,0,133,124,0,2,1,1,0,0,120,65,0,0,2,0,0,0,0,0,0,0,0,0,0
241,85,171162119680585_872400882890035,https://www.facebook.com/TarletonCOGS/posts/872400882890035,Plan your spring schedule now!  Spring 2017 classes are posted for viewing.,Link,,,10/18/16 7:42 AM, ,100,81,0,181,151,0,6,4,4,0,0,151,81,0,0,5,0,0,0,0,0,0,0,0,0,0
242,86,171162119680585_871722536291203,https://www.facebook.com/TarletonCOGS/posts/871722536291203,"Self-Care, Emotional Health, Dissertation.  In That Order.  #tarletongradstudies #transformationaltuesday",Link,,,10/18/16 6:40 AM, ,263,86,0,398,145,0,10,8,12,0,0,152,91,0,0,6,0,0,0,0,0,0,0,0,0,0
243,87,171162119680585_871675649629225,https://www.facebook.com/TarletonCOGS/posts/871675649629225,Want to learn more about time or money management?  Make plans to attend the COGS open house on October 26th.  Follow the event link below for a complete schedule and to RSVP.,Link,,,10/17/16 5:26 PM, ,95,95,0,166,166,0,1,1,1,0,0,166,95,0,0,1,0,0,0,0,0,0,0,0,0,0
244,88,171162119680585_871666909630099,https://www.facebook.com/TarletonCOGS/posts/871666909630099,It's #TarletonHomecoming week!  View the schedule of events and get back to a Texan State of Mind!  Tarleton State University Alumni Association,Link,,,10/17/16 7:00 AM, ,290,114,0,517,200,0,16,13,18,0,0,255,133,0,0,11,0,0,0,0,0,0,0,0,0,0
245,89,171162119680585_867962830000507,https://www.facebook.com/TarletonCOGS/posts/867962830000507,"Learn more about Dr. GM Cox, Director of Tarleton's MPA Program, in this week's blog post.",Link,,,10/14/16 2:48 PM, ,164,93,0,281,163,0,8,6,7,0,0,183,100,0,0,7,0,0,0,0,0,0,0,0,0,0
246,90,171162119680585_867171420079648,https://www.facebook.com/TarletonCOGS/posts/867171420079648,"Attending the #tamuspathways Student Research Symposium at Prairie View? If you missed yesterday's info session, come by Math 125 at 11 a.m. for travel information & trip agenda.",Status,,,10/14/16 6:09 AM, ,56,52,0,97,92,0,2,0,0,0,0,92,52,0,0,2,0,0,0,0,0,0,0,0,0,0
247,91,171162119680585_867168096746647,https://www.facebook.com/TarletonCOGS/posts/867168096746647,Want to learn more about grad school at Tarleton?  Mark your calendars for our Fall 2016 Beyond a Bachelor's Open House.,Link,,,10/13/16 5:00 PM, ,124,111,0,172,155,0,1,1,1,0,0,157,112,0,0,1,0,0,0,0,0,0,0,0,0,0
248,92,171162119680585_869111963218927,https://www.facebook.com/TarletonCOGS/posts/869111963218927,College of Graduate Studies - Tarleton State University shared Tarleton State University Global Campus's post.,Link,,,10/13/16 10:47 AM, ,114,80,0,181,123,0,11,11,16,0,0,145,91,0,0,11,0,0,0,0,0,0,0,0,0,0
249,93,171162119680585_867169670079823,https://www.facebook.com/TarletonCOGS/posts/867169670079823,Attending the #tamuspathways Student Research Symposium at Prairie View?  Come by our info session at 2 p.m. today in Math 125 for travel information and trip agenda.,Status,,,10/13/16 6:05 AM, ,48,48,0,78,78,0,0,0,0,0,0,78,48,0,0,0,0,0,0,0,0,0,0,0,0,0
250,94,171162119680585_867167080080082,https://www.facebook.com/TarletonCOGS/posts/867167080080082,Why You Should Write Every Day.,Link,,,10/12/16 4:57 PM, ,116,83,0,192,137,0,3,3,3,0,0,138,83,0,0,3,0,0,0,0,0,0,0,0,0,0
251,95,171162119680585_868539189942871,https://www.facebook.com/TarletonCOGS/posts/868539189942871,The Graduate & Professional School Fair today was a success!  Thanks to all who attended!,Photo,,,10/12/16 2:05 PM, ,219,150,0,351,250,0,30,30,51,0,0,252,150,0,0,25,0,0,0,0,0,0,0,0,0,0
252,96,171162119680585_867164120080378,https://www.facebook.com/TarletonCOGS/posts/867164120080378:0,Join us for the Graduate & Professional School Fair today in the TSC Ballrooms!,Photo,,,10/12/16 5:53 AM, ,651,639,0,1980,1948,0,5,4,6,0,0,1407,434,0,0,3,0,0,0,0,0,0,0,0,0,0
253,97,171162119680585_867154643414659,https://www.facebook.com/TarletonCOGS/posts/867154643414659,Stop by the graduate and professional school fair tomorrow in the TSC Ballrooms!  Nearly 50 grad and professional institutions will be present to discuss their programs.  10 a.m. to 2 p.m.,Link,,,10/11/16 3:28 PM, ,25,25,0,39,39,0,0,0,0,0,0,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0
254,98,171162119680585_867149830081807,https://www.facebook.com/TarletonCOGS/posts/867149830081807,Check out the latest issue of The COGS Connection!,Link,,,10/11/16 6:17 AM, ,73,73,0,130,130,0,3,3,5,0,0,130,73,0,0,3,0,0,0,0,0,0,0,0,0,0
255,99,171162119680585_867152013414922,https://www.facebook.com/TarletonCOGS/posts/867152013414922,It's Student Success Week!  Check out the week's schedule of events! #TarletonSuccess,Link,,,10/10/16 12:22 PM, ,106,61,0,190,106,0,3,2,3,0,0,106,61,0,0,2,0,0,0,0,0,0,0,0,0,0
256,100,171162119680585_1757615317825192,https://www.facebook.com/events/1757615317825192/,What?s beyond your bachelor?s degree?  Learn how a master?s degree can impact your future.  Stop by the College of Graduate Studies office on the Stephenville campus at any time or RSVP for an info session.    Session schedule: 10 a.m. Applying to Grad School Basics Noon: Financial Aid ? Using SALT 12:30 p.m. Scholarships 1 p.m. Time Management 3 p.m. Applying to Grad School Basics  Questions?  Email gradinfo@tarleton.edu.,Status,,,10/10/16 7:11 AM, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,101,171162119680585_863140780482712,https://www.facebook.com/TarletonCOGS/posts/863140780482712,Mark your calendars for next Wednesday's graduate and professional school fair!,Link,,,10/7/16 4:38 PM, ,39,33,0,67,59,0,1,1,4,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0
258,102,171162119680585_863132187150238,https://www.facebook.com/TarletonCOGS/posts/863132187150238,How To Pay For Graduate School The Smart Way,Link,,,10/7/16 5:22 AM, ,81,78,0,134,131,0,5,5,5,0,0,131,78,0,0,5,0,0,0,0,0,0,0,0,0,0
259,103,171162119680585_863146127148844,https://www.facebook.com/TarletonCOGS/posts/863146127148844,"Listen to Dr. Sue Joiner, graduate of Tarleton's Educational Leadership (Ed.D.) program, and Management instructor, discuss her Tarleton experience on Faculty Unscripted.",Link,,,10/6/16 4:55 PM, ,69,61,0,115,102,0,2,2,4,0,0,105,61,0,0,1,0,0,0,0,0,0,0,0,0,0
260,104,171162119680585_864785910318199,https://www.facebook.com/TarletonCOGS/posts/864785910318199,Find out why so many are choosing Tarleton's EdD program!  Tarleton State University - Educational Leadership & Policy Studies,Link,,,10/6/16 8:33 AM, ,336,192,0,529,308,0,22,21,35,0,0,393,229,0,0,20,0,0,0,0,0,0,0,0,0,0
261,105,171162119680585_863133067150150,https://www.facebook.com/TarletonCOGS/posts/863133067150150,Check out these financial aid tips for graduate students.,Link,,,10/6/16 6:23 AM, ,72,52,0,122,84,0,1,1,1,1,1,82,52,0,0,1,0,0,0,0,0,0,0,0,0,0
262,106,171162119680585_863142007149256,https://www.facebook.com/TarletonCOGS/posts/863142007149256,"Check out student and faculty stories, read tips and inspiration, and catch up on our newsletter, The COGS Connection, via our blog (newly updated)! www.tarletongradstudies.wordpress.com",Link,,,10/5/16 5:42 PM, ,69,58,0,109,94,0,2,2,2,0,0,92,57,0,0,2,0,0,0,0,0,0,0,0,0,0
263,107,171162119680585_863134567150000,https://www.facebook.com/TarletonCOGS/posts/863134567150000,Don't miss today's career fair!  See event details in the link below.,Link,,,10/5/16 6:26 AM, ,59,47,0,110,86,0,2,1,1,1,1,84,46,0,0,2,0,0,0,0,0,0,0,0,0,0
264,108,171162119680585_863136777149779,https://www.facebook.com/TarletonCOGS/posts/863136777149779,Can rejection be a good thing? #transformationaltuesday,Link,,,10/4/16 5:33 PM, ,93,84,0,160,136,0,5,3,3,0,0,132,83,0,0,5,0,0,0,0,0,0,0,0,0,0
265,109,171162119680585_863593893770734,https://www.facebook.com/TarletonCOGS/posts/863593893770734:0,"Today is Elizabeth's birthday! Thanks, Elizabeth, for everything you do for our Graduate students!Give her a birthday shout out!",Photo,,,10/4/16 7:36 AM, ,393,284,0,667,536,0,49,27,64,0,0,494,258,0,0,40,0,0,0,0,0,0,0,0,0,0
